timestamp,base,shoulder,claw1,claw2
1784785980.2774022,83.6,93.9,138.5,41.5
1784785980.374091,78.4,96.9,129.2,50.8
1784785980.43594,74.3,99.4,121.8,58.2
1784785980.5074618,71.0,101.3,115.9,64.1
1784785980.568426,68.2,102.8,111.2,68.8
1784785980.641817,65.8,104.0,107.4,72.6
1784785980.701035,63.7,105.0,104.3,75.7
1784785980.775789,62.0,105.9,102.2,77.8
1784785980.834152,60.6,106.6,101.9,78.1
1784785980.9078631,59.5,107.0,102.8,77.2
1784785980.968607,58.5,107.4,103.6,76.4
1784785981.0415459,57.6,107.7,104.4,75.6
1784785981.103893,57.2,108.6,105.0,75.0
1784785981.174069,57.3,109.3,105.7,74.3
1784785981.2373078,57.5,110.1,106.3,73.7
1784785981.309519,57.9,110.9,106.8,73.2
1784785981.3674219,58.6,111.6,107.1,72.9
1784785981.443539,59.5,112.4,107.3,72.7
1784785981.5023592,60.0,113.7,107.5,72.5
1784785981.5733771,60.6,115.1,107.4,72.6
1784785981.637556,61.1,117.0,107.2,72.8
1784785981.707954,61.3,118.7,107.2,72.8
1784785981.769918,61.5,120.4,107.2,72.8
1784785981.84758,61.5,121.9,107.5,72.5
1784785981.946738,61.6,123.3,108.4,71.6
1784785982.044729,61.7,124.8,108.8,71.2
1784785982.1432462,61.9,126.2,109.1,70.9
1784785982.201531,61.9,127.3,109.6,70.4
1784785982.27552,62.1,128.4,110.2,69.8
1784785982.337106,62.3,129.1,111.4,68.6
1784785982.410064,62.4,129.8,112.0,68.0
1784785982.509024,62.3,130.6,112.8,67.2
1784785982.569505,62.3,131.3,113.1,66.9
1784785982.642414,62.3,131.9,113.6,66.4
1784785982.705311,62.3,132.3,113.8,66.2
1784785982.772558,62.3,132.6,113.7,66.3
1784785982.839071,62.4,132.9,113.7,66.3
1784785982.9076018,62.6,133.2,113.6,66.4
1784785982.972492,62.8,133.4,113.6,66.4
1784785983.039978,62.9,133.8,113.9,66.1
1784785983.105731,63.1,134.1,113.6,66.4
1784785983.172586,63.5,134.4,113.0,67.0
1784785983.239724,64.0,134.6,112.9,67.1
1784785983.307227,64.6,134.8,113.0,67.0
1784785983.371819,65.2,134.8,113.0,67.0
1784785983.439323,65.8,135.0,113.1,66.9
1784785983.5086029,66.3,135.4,112.9,67.1
1784785983.571563,66.9,136.0,112.7,67.3
1784785983.642874,67.8,136.8,112.4,67.6
1784785983.705456,68.7,137.7,112.1,67.9
1784785983.77283,69.6,138.6,111.4,68.6
1784785983.84112,70.0,139.3,110.5,69.5
1784785983.90752,70.4,140.2,109.3,70.7
1784785983.9729989,70.8,141.2,108.2,71.8
1784785984.040599,70.9,142.0,106.9,73.1
1784785984.1062222,70.9,142.7,105.9,74.1
1784785984.174722,71.1,143.4,105.2,74.8
1784785984.237968,71.1,143.6,104.0,76.0
1784785984.3114932,71.1,143.5,102.9,77.1
1784785984.413183,71.1,143.0,101.8,78.2
1784785984.5159051,70.7,141.5,101.1,78.9
1784785984.610956,69.8,139.4,100.5,79.5
1784785984.671577,69.1,137.4,99.7,80.3
1784785984.742614,68.0,135.1,99.4,80.6
1784785984.803533,66.5,132.5,99.1,80.9
1784785984.877553,64.8,129.6,99.0,81.0
1784785984.977918,63.3,126.9,98.9,81.1
1784785985.036983,62.1,124.6,99.0,81.0
1784785985.112333,61.2,122.7,98.9,81.1
1784785985.215602,60.2,121.0,98.9,81.1
1784785985.316499,59.1,119.7,98.9,81.1
1784785985.411817,57.6,118.9,98.6,81.4
1784785985.511929,55.8,118.4,98.6,81.4
1784785985.61484,54.2,118.1,98.7,81.3
1784785985.710294,53.0,118.0,98.7,81.3
1784785985.7701561,52.0,117.9,98.6,81.4
1784785985.843745,51.1,117.8,98.7,81.3
1784785985.906164,50.2,118.1,98.8,81.2
1784785985.9740758,49.4,118.2,98.9,81.1
1784785986.040714,48.8,118.6,98.9,81.1
1784785986.108309,48.0,119.3,98.8,81.2
1784785986.1739972,47.3,119.9,98.9,81.1
1784785986.243188,46.6,120.7,99.0,81.0
1784785986.307371,45.5,121.6,98.9,81.1
1784785986.3743339,44.4,122.4,98.8,81.2
1784785986.443705,43.6,123.4,98.5,81.5
1784785986.507454,42.6,124.1,98.4,81.6
1784785986.575861,41.8,124.8,98.3,81.7
1784785986.641228,40.8,125.3,98.1,81.9
1784785986.7086349,39.9,126.0,98.1,81.9
1784785986.7732859,38.8,126.4,98.2,81.8
1784785986.842297,37.8,126.8,98.2,81.8
1784785986.906256,36.7,127.2,98.1,81.9
1784785986.979431,35.4,127.3,98.0,82.0
1784785987.079263,34.0,127.7,98.0,82.0
1784785987.1796951,32.8,128.4,98.1,81.9
1784785987.282868,31.7,129.1,98.2,81.8
1784785987.374654,30.8,129.7,98.3,81.7
1784785987.442614,29.8,130.3,98.2,81.8
1784785987.5091531,29.1,131.0,98.2,81.8
1784785987.5747461,28.2,131.6,98.1,81.9
1784785987.643181,27.3,132.1,98.1,81.9
1784785987.705966,26.6,132.9,98.0,82.0
1784785987.779876,26.2,134.0,97.7,82.3
1784785987.881245,25.7,134.8,97.7,82.3
1784785987.9817128,25.0,135.6,97.7,82.3
1784785988.080728,24.5,136.2,97.6,82.4
1784785988.182869,24.1,136.8,97.6,82.4
1784785988.2836428,23.8,137.3,97.6,82.4
1784785988.381973,23.6,138.0,97.9,82.1
1784785988.484437,23.4,138.7,100.9,79.1
1784785988.577983,23.4,139.3,106.3,73.7
1784785988.6400661,23.2,140.0,112.9,67.1
1784785988.714373,23.1,140.2,117.5,62.5
1784785988.816735,23.0,140.5,122.8,57.2
1784785988.917119,23.0,141.0,127.6,52.4
1784785989.015857,23.1,140.9,131.2,48.8
1784785989.115513,23.5,140.3,133.9,46.1
1784785989.21634,23.9,138.4,135.2,44.8
1784785989.312033,24.2,135.0,135.4,44.6
1784785989.373047,24.9,131.2,135.5,44.5
1784785989.446002,25.6,127.6,134.6,45.4
1784785989.5075672,26.1,124.2,132.8,47.2
1784785989.569023,26.6,121.3,130.6,49.4
1784785989.636759,27.1,118.9,127.0,53.0
1784785989.707412,27.8,117.0,122.1,57.9
1784785989.777545,28.6,115.4,116.2,63.8
1784785989.839382,29.6,113.9,111.5,68.5
1784785989.913055,30.6,112.5,107.8,72.2
1784785989.9732969,31.9,110.9,104.6,75.4
1784785990.0466821,33.6,109.5,102.2,77.8
1784785990.106879,35.3,108.5,100.3,79.7
